year_month,Uf,Product,unit,volume,created_at
2014-01-01 00:00:00.000000,GOIÁS,ÓLEO DIESEL S-10 (m3),m3,50630.481,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,DISTRITO FEDERAL,ÓLEO DIESEL S-10 (m3),m3,15254.853,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,RONDÔNIA,ÓLEO DIESEL S-500 (m3),m3,59527.8,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,ACRE,ÓLEO DIESEL S-500 (m3),m3,11907.08,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,AMAZONAS,ÓLEO DIESEL S-500 (m3),m3,23598.5,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,RORAIMA,ÓLEO DIESEL S-500 (m3),m3,8780.2,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,PARÁ,ÓLEO DIESEL S-500 (m3),m3,109966.713,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,AMAPÁ,ÓLEO DIESEL S-500 (m3),m3,32269.1,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,TOCANTINS,ÓLEO DIESEL S-500 (m3),m3,49772.45,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,MARANHÃO,ÓLEO DIESEL S-500 (m3),m3,968961.4189999999,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,PIAUÍ,ÓLEO DIESEL S-500 (m3),m3,36010.8,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,CEARÁ,ÓLEO DIESEL S-500 (m3),m3,42096.5,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,RIO GRANDE DO NORTE,ÓLEO DIESEL S-500 (m3),m3,54424.05,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,PARAÍBA,ÓLEO DIESEL S-500 (m3),m3,32443.66,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,PERNAMBUCO,ÓLEO DIESEL S-500 (m3),m3,88770.5,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,ALAGOAS,ÓLEO DIESEL S-500 (m3),m3,21169.4,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,SERGIPE,ÓLEO DIESEL S-500 (m3),m3,18352.5,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,BAHIA,ÓLEO DIESEL S-500 (m3),m3,230482.933,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,MINAS GERAIS,ÓLEO DIESEL S-500 (m3),m3,499814.073,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,ESPÍRITO SANTO,ÓLEO DIESEL S-500 (m3),m3,76565.994,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,RIO DE JANEIRO,ÓLEO DIESEL S-500 (m3),m3,118600.961,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,SÃO PAULO,ÓLEO DIESEL S-500 (m3),m3,648227.785,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,PARANÁ,ÓLEO DIESEL S-500 (m3),m3,4120736.249,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,SANTA CATARINA,ÓLEO DIESEL S-500 (m3),m3,138683.52,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,RIO GRANDE DO SUL,ÓLEO DIESEL S-500 (m3),m3,249793.122,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,MATO GROSSO DO SUL,ÓLEO DIESEL S-500 (m3),m3,108645.1,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,MATO GROSSO,ÓLEO DIESEL S-500 (m3),m3,205202.443,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,GOIÁS,ÓLEO DIESEL S-500 (m3),m3,245885.068,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,DISTRITO FEDERAL,ÓLEO DIESEL S-500 (m3),m3,23053.277,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,RONDÔNIA,ÓLEO DIESEL S-1800 (m3),m3,0.0,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,ACRE,ÓLEO DIESEL S-1800 (m3),m3,0.0,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,AMAZONAS,ÓLEO DIESEL S-1800 (m3),m3,64226.892,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,RORAIMA,ÓLEO DIESEL S-1800 (m3),m3,0.0,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,PARÁ,ÓLEO DIESEL S-1800 (m3),m3,5560.815,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,AMAPÁ,ÓLEO DIESEL S-1800 (m3),m3,0.0,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,TOCANTINS,ÓLEO DIESEL S-1800 (m3),m3,20.0,2021-09-06 11:51:29.993326
2014-01-01 00:00:00.000000,MARANHÃO,ÓLEO DIESEL S-1800 (m3),m3,0.0,2021-09-06 11:51:29.993326
